<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210215,130000,164.4600000
MOEX,60,20210215,140000,164.2900000
MOEX,60,20210215,150000,164.6400000
MOEX,60,20210215,160000,164.9200000
MOEX,60,20210215,170000,164.3500000
MOEX,60,20210215,180000,164.9200000
MOEX,60,20210215,190000,165.2100000
MOEX,60,20210215,200000,165.2500000
MOEX,60,20210215,210000,164.9000000
MOEX,60,20210215,220000,165.0000000
MOEX,60,20210215,230000,165.2000000
MOEX,60,20210216,000000,165.2900000
MOEX,60,20210216,110000,165.7000000
MOEX,60,20210216,120000,166.3300000
MOEX,60,20210216,130000,165.0700000
MOEX,60,20210216,140000,165.1500000
MOEX,60,20210216,150000,165.0800000
MOEX,60,20210216,160000,165.1400000
MOEX,60,20210216,170000,164.0700000
MOEX,60,20210216,180000,163.0000000
MOEX,60,20210216,190000,162.7400000
MOEX,60,20210216,200000,162.9300000
MOEX,60,20210216,210000,163.4100000
MOEX,60,20210216,220000,163.6700000
MOEX,60,20210216,230000,163.7000000
MOEX,60,20210217,000000,162.8800000
MOEX,60,20210217,110000,162.7000000
MOEX,60,20210217,120000,162.7100000
MOEX,60,20210217,130000,162.9700000
MOEX,60,20210217,140000,162.8400000
MOEX,60,20210217,150000,162.5400000
MOEX,60,20210217,160000,163.6700000
MOEX,60,20210217,170000,163.6800000
MOEX,60,20210217,180000,163.9300000
MOEX,60,20210217,190000,164.6000000
MOEX,60,20210217,200000,163.2800000
MOEX,60,20210217,210000,163.3700000
MOEX,60,20210217,220000,164.0000000
MOEX,60,20210217,230000,164.4800000
MOEX,60,20210218,000000,164.5000000
MOEX,60,20210218,110000,163.2900000
MOEX,60,20210218,120000,163.3500000
MOEX,60,20210218,130000,162.3100000
MOEX,60,20210218,140000,162.2900000
MOEX,60,20210218,150000,162.1000000
MOEX,60,20210218,160000,161.7800000
MOEX,60,20210218,170000,161.0300000
MOEX,60,20210218,180000,160.8100000
MOEX,60,20210218,190000,160.0100000
MOEX,60,20210218,200000,160.5100000
MOEX,60,20210218,210000,160.6900000
MOEX,60,20210218,220000,160.6200000
MOEX,60,20210218,230000,161.2200000
MOEX,60,20210219,000000,160.9800000
MOEX,60,20210219,110000,162.2500000
MOEX,60,20210219,120000,161.6500000
MOEX,60,20210219,130000,161.4900000
MOEX,60,20210219,140000,161.9300000
MOEX,60,20210219,150000,162.5000000
MOEX,60,20210219,160000,163.4600000
MOEX,60,20210219,170000,165.4500000
MOEX,60,20210219,180000,166.3700000
MOEX,60,20210219,190000,166.8900000
MOEX,60,20210219,200000,165.8500000
MOEX,60,20210219,210000,165.7200000
MOEX,60,20210219,220000,165.8000000
MOEX,60,20210219,230000,165.7500000
MOEX,60,20210220,000000,165.5500000
MOEX,60,20210220,110000,164.4500000
MOEX,60,20210220,120000,164.9100000
MOEX,60,20210220,130000,165.1200000
MOEX,60,20210220,140000,164.9100000
MOEX,60,20210220,150000,164.9400000
MOEX,60,20210220,160000,165.0200000
MOEX,60,20210220,170000,165.2000000
MOEX,60,20210220,180000,165.5900000
MOEX,60,20210220,190000,165.7000000
MOEX,60,20210220,200000,165.8300000
MOEX,60,20210220,210000,165.7900000
MOEX,60,20210220,220000,165.7900000
MOEX,60,20210220,230000,165.8400000
MOEX,60,20210221,000000,165.5500000
MOEX,60,20210222,110000,166.0300000
MOEX,60,20210222,120000,165.6800000
MOEX,60,20210222,130000,165.6100000
MOEX,60,20210222,140000,165.0600000
MOEX,60,20210222,150000,165.2200000
MOEX,60,20210222,160000,166.8800000
MOEX,60,20210222,170000,167.0100000
MOEX,60,20210222,180000,168.0400000
MOEX,60,20210222,190000,169.6000000
MOEX,60,20210222,200000,168.7800000
MOEX,60,20210222,210000,168.9600000
MOEX,60,20210222,220000,168.9000000
MOEX,60,20210222,230000,168.9900000
MOEX,60,20210223,000000,169.5000000
MOEX,60,20210224,110000,168.8500000
MOEX,60,20210224,120000,173.4800000
MOEX,60,20210224,130000,173.9500000
MOEX,60,20210224,140000,172.7500000
MOEX,60,20210224,150000,172.6400000
MOEX,60,20210224,160000,173.0100000
MOEX,60,20210224,170000,172.0200000
MOEX,60,20210224,180000,172.2700000
MOEX,60,20210224,190000,171.8200000
MOEX,60,20210224,200000,172.3800000
MOEX,60,20210224,210000,172.9100000
MOEX,60,20210224,220000,173.4300000
MOEX,60,20210224,230000,173.0200000
MOEX,60,20210225,000000,173.2800000
MOEX,60,20210225,110000,173.5200000
MOEX,60,20210225,120000,173.5500000
MOEX,60,20210225,130000,172.6400000
MOEX,60,20210225,140000,173.0800000
MOEX,60,20210225,150000,172.7100000
MOEX,60,20210225,160000,171.7800000
MOEX,60,20210225,170000,172.1600000
MOEX,60,20210225,180000,173.1500000
MOEX,60,20210225,190000,173.5900000
MOEX,60,20210225,200000,173.3300000
