<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SPBE:TQBR,60,20211223,230000,981.1000000
MOEX.SPBE:TQBR,60,20211224,000000,982.9000000
MOEX.SPBE:TQBR,60,20211224,110000,955.0000000
MOEX.SPBE:TQBR,60,20211224,120000,957.6000000
MOEX.SPBE:TQBR,60,20211224,130000,959.0000000
MOEX.SPBE:TQBR,60,20211224,140000,958.2000000
MOEX.SPBE:TQBR,60,20211224,150000,960.0000000
MOEX.SPBE:TQBR,60,20211224,160000,957.1000000
MOEX.SPBE:TQBR,60,20211224,170000,964.0000000
MOEX.SPBE:TQBR,60,20211224,180000,968.5000000
MOEX.SPBE:TQBR,60,20211224,190000,968.5000000
MOEX.SPBE:TQBR,60,20211224,200000,966.0000000
MOEX.SPBE:TQBR,60,20211224,210000,971.0000000
MOEX.SPBE:TQBR,60,20211224,220000,960.9000000
MOEX.SPBE:TQBR,60,20211224,230000,964.6000000
MOEX.SPBE:TQBR,60,20211225,000000,964.0000000
MOEX.SPBE:TQBR,60,20211227,110000,964.0000000
MOEX.SPBE:TQBR,60,20211227,120000,962.5000000
MOEX.SPBE:TQBR,60,20211227,130000,968.5000000
MOEX.SPBE:TQBR,60,20211227,140000,965.0000000
MOEX.SPBE:TQBR,60,20211227,150000,959.5000000
MOEX.SPBE:TQBR,60,20211227,160000,960.0000000
MOEX.SPBE:TQBR,60,20211227,170000,958.5000000
MOEX.SPBE:TQBR,60,20211227,180000,958.1000000
MOEX.SPBE:TQBR,60,20211227,190000,963.0000000
MOEX.SPBE:TQBR,60,20211227,200000,967.7000000
MOEX.SPBE:TQBR,60,20211227,210000,967.8000000
MOEX.SPBE:TQBR,60,20211227,220000,970.0000000
MOEX.SPBE:TQBR,60,20211227,230000,969.2000000
MOEX.SPBE:TQBR,60,20211228,000000,967.0000000
MOEX.SPBE:TQBR,60,20211228,110000,966.1000000
MOEX.SPBE:TQBR,60,20211228,120000,964.2000000
MOEX.SPBE:TQBR,60,20211228,130000,963.2000000
MOEX.SPBE:TQBR,60,20211228,140000,962.4000000
MOEX.SPBE:TQBR,60,20211228,150000,962.8000000
MOEX.SPBE:TQBR,60,20211228,160000,961.5000000
MOEX.SPBE:TQBR,60,20211228,170000,966.6000000
MOEX.SPBE:TQBR,60,20211228,180000,968.0000000
MOEX.SPBE:TQBR,60,20211228,190000,972.0000000
MOEX.SPBE:TQBR,60,20211228,200000,969.5000000
MOEX.SPBE:TQBR,60,20211228,210000,968.9000000
MOEX.SPBE:TQBR,60,20211228,220000,968.0000000
MOEX.SPBE:TQBR,60,20211228,230000,969.6000000
MOEX.SPBE:TQBR,60,20211229,000000,973.0000000
MOEX.SPBE:TQBR,60,20211229,110000,969.0000000
MOEX.SPBE:TQBR,60,20211229,120000,967.3000000
MOEX.SPBE:TQBR,60,20211229,130000,970.0000000
MOEX.SPBE:TQBR,60,20211229,140000,966.0000000
MOEX.SPBE:TQBR,60,20211229,150000,966.1000000
MOEX.SPBE:TQBR,60,20211229,160000,969.4000000
MOEX.SPBE:TQBR,60,20211229,170000,969.8000000
MOEX.SPBE:TQBR,60,20211229,180000,971.9000000
MOEX.SPBE:TQBR,60,20211229,190000,972.0000000
MOEX.SPBE:TQBR,60,20211229,200000,976.5000000
MOEX.SPBE:TQBR,60,20211229,210000,975.0000000
MOEX.SPBE:TQBR,60,20211229,220000,975.6000000
MOEX.SPBE:TQBR,60,20211229,230000,975.0000000
MOEX.SPBE:TQBR,60,20211230,000000,977.0000000
MOEX.SPBE:TQBR,60,20211230,110000,978.0000000
MOEX.SPBE:TQBR,60,20211230,120000,981.0000000
MOEX.SPBE:TQBR,60,20211230,130000,983.0000000
MOEX.SPBE:TQBR,60,20211230,140000,982.8000000
MOEX.SPBE:TQBR,60,20211230,150000,986.6000000
MOEX.SPBE:TQBR,60,20211230,160000,985.2000000
MOEX.SPBE:TQBR,60,20211230,170000,986.4000000
MOEX.SPBE:TQBR,60,20211230,180000,985.6000000
MOEX.SPBE:TQBR,60,20211230,190000,986.6000000
MOEX.SPBE:TQBR,60,20211230,200000,984.0000000
MOEX.SPBE:TQBR,60,20211230,210000,984.3000000
MOEX.SPBE:TQBR,60,20211230,220000,985.9000000
MOEX.SPBE:TQBR,60,20211230,230000,986.1000000
MOEX.SPBE:TQBR,60,20211231,000000,984.0000000
